c no-of-vertices no-of-edges 
p sp 100 428
c from to edge-weight 
a 29 29 535
a 14 15 77
a 50 63 184
a 34 65 179
a  84 95 22
a  53 44 33
a  53 40 48
a  97 9 50
a  47 43 23
a  06 04 71
a  4 56 191
a  07 49 40
a  60 31 81
a  59 6 182
a  80 41 17
a  33 84 14
a  46 47 56
a  71 56 72
a  68 51 76
a  67 5 90
a  84 88 17
a  67 40 128
a  93 94 92
a  8 25 197
a  34 46 78
a  40 42 12
a  64 55 61
a  2 16 10
a  3 55 11
a  56 53 10
a  46 66 178
a  1 36 108
a  67 38 24
a  8 32 2
a  50 05 72
a  43 45 184
a  63 59 11
a  83 98 145
a  33 43 116
a  99 55 58
a  18 42 96
a  51 05 135
a  09 81 231
a  21 62 13
a  90 59 59
a  4 65 66
a  95 39 39
a  96 59 485
a  6 52 160
a  32 58 784
a  94 75 92
a  77 88 16
a  78 89 18
a  13 84 20
a  53 5 20
a  19 68 11
a  28 27 39
a  38 79 182
a  7 16 13
a  79 70 12
a  9 50 102
a  51 2 107
a  70 75 54
a  30 32 37
a  30 33 92
a  26 27 86
a  26 30 38
a  10 2 54
a  79 77 14
a  85 91 16
a  8 5 69
a  84 5 66
a  23 10 89
a  10 20 7
a  29 28 33
a  22 20 42
a  13 14 504
a  05 06 62
a  87 88 80
a 78 83 7
a  8 6 322
a  84 5 43
a  81 82 73
a  17 18 122
a  3 6 179
a  25 18 30
a  41 62 3
a  42 6 14
a  93 34 13
a  86 33 24
a  16 6 636
a  80 71 69
a  17 99 242
a  48 99 70
a  59 20 78
a  25 66 417
a  74 70 87
a  21 72 143
a  84 56 108
a  18 71 22
a  47 93 42
a  31 97 239
a  06 28 32
a  72 74 95
a  46 97 47
a  17 46 47
a  73 72 61
a  19 96 250
a  2 19 1214
a  16 95 8
a  23 78 135
a  24 63 37
a  18 59 36
a  41 42 16
a  15 86 102
a  76 82 16
a  9 19 11
a  50 31 82
a  18 87 336
a  08 49 10
a  46 97 142
a 94 76 326
a  68 77 33
a  64 77 48
a  64 78 46
a  65 6 28
a  89 80 70
a  63 74 30
a  63 75 21
a  3 6 45
a  89 91 85
a  44 48 24
a  61 62 92
a  03 04 49
a  48 47 102
a  39 40 66
a  03 05 72
a  25 6 98
a  25 6 18
a  45 46 51
a  69 70 26
a  02 03 65
a  03 41 113
a  45 42 21
a  59 60 28
a  40 42 126
a  02 40 120
a  74 76 110
a  68 66 6
a  73 72 50
a  42 37 7
a  10 09 95
a  08 09 29
a  10 08 95
a  79 84 79
a  78 79 125
a  4 43 115
a  52 43 633
a  6 41 1071
a  7 44 594
a  2 32 426
a  1 42 221
a  2 46 405
a  57 56 441
a  8 47 737
a  9 40 991
a  8 49 56
a  10 58 440
a  4 49 575
a  4 42 580
a  5 49 709
a  5 44 1147
a  9 45 654
a  10 69 671
a  6 48 316
a  69 68 401
a  1 48 690
a  48 64 419
a  47 48 506
a  48 51 234
a  49 51 446
a  72 51 350
a  73 57 990
a  72 73 286
a  75 73 608
a  91 73 1633
a  76 75 532
a  77 49 1509
a  37 77 825
a  9 45 454
a  77 79 1125
a  96 76 418
a  90 81 540
a  84 79 390
a  86 80 381
a  85 82 277
a 86 85 177
a  87 86 121
a  37 88 234
a  50 87 339
a  92 91 348
a  89 76 660
a  97 92 688
a  93 92 362
a  99 93 353
a  82 81 122
a  95 96 76
a  50 85 540
a 40 95 377
a  51 90 343
a  97 99 798
a  52 99 219
a  53 01 485
a  52 03 88
a  53 04 26
a  59 06 637
a  12 09 141
a  09 07 160
a  11 05 290
a  14 09 257
a  12 11 400
a  61 13 526
a  15 35 463
a  18 16 271
a  18 53 1378
a  20 19 902
a  20 15 1617
a  23 20 784
a  21 23 810
a  07 15 1831
a  06 07 2859
a  24 07 167
a  27 15 930
a 27 25 160
a 28 23 918
a 29 30 299
a 36 29 542
a 33 1 338
a 82 33 289
a 30 34 331
a  34 31 361
a  38 30 472
a  38 37 281
a 39 38 288
a 39 41 528
a 43 52 153
a 46 43 551
a 44 74 327
a  46 74 411
a 47 19 1397
a  47 43 1221
a  47 28 867
a  50 46 1230
a  50 48 444
a  71 74 1649
a 51 47 911
a  51 52 352
a  59 50 931
a  55 37 645
a  51 53 1025
a  56 36 602
a  55 56 9
a  58 55 34
a  58 57 33
a  58 41 392
a  59 51 911
a  63 59 280
a  62 57 658
a  64 62 145
a  60 62 614
a 67 63 530
a  69 67 88
a  74 27 648
a  73 27 904
a 74 73 607
a  75 24 1020
a  75 74 280
a  78 75 463
a  71 72 467
a 76 72 344
a  79 78 331
a  14 80 424
a  14 81 457
a  82 24 1096
a  86 33 692
a  84 34 485
a  85 38 442
a  86 84 270
a  42 85 346
a  88 86 323
a  90 88 190
a  50 90 156
a  94 78 558
a  93 94 77
a  81 93 229
a  94 95 54
a  89 82 767
a  89 95 357
a  96 89 165
a  88 89 397
a 44 43 115
a 52 43 633
a 44 41 1071
a 44 4 594
a 42 92 426
a 41 22 221
a 42 56 405
a 47 56 441
a 48 57 737
a 49 10 991
a 48 59 56
a 40 58 440
a 64 29 575
a 44 62 580
a 65 59 709
a 45 14 1147
a 69 65 654
a 70 69 671
a 66 68 316
a 69 48 401
a 71 48 690
a 8 44 419
a 7 48 506
a 8 4 234
a 9 45 446
a  7 9 50
a  7 43 23
a  6 04 71
a  44 56 191
a  7 49 40
a  6 31 81
a  9 6 182
a  8 41 17
a  3 84 14
a  6 47 56
a  1 56 72
a  8 51 76
a  7 5 90
a  4 88 17
a  7 40 128
a  9 94 92
a  80 25 197
a  3 46 78
a  4 42 12
a  4 55 61
a  2 16 10
a  3 55 11
a  6 53 10
a  4 66 178
a  19 36 108
a  6 38 24
a  8 32 2
a  5 05 72
a  3 45 184
a  3 59 11
a  3 98 145
a  3 43 116
a  9 55 58
a  8 42 96
a  1 05 135
a  9 81 231
a  1 62 13
a  99 59 59
a  45 65 66
a  5 39 39
a  6 59 485
a  64 52 160
a  2 58 784
a  4 75 92
a  7 88 16
a  8 89 18
a  3 84 20
a  3 5 20
a  9 68 11
a  8 27 39
a  8 79 182
a  7 16 13
a  9 70 12
a  99 50 102
a  1 2 107
a  60 75 54
a  40 32 37
a  50 33 92
a  26 27 86
a  6 30 38
a  50 2 54
a  9 77 14
a  5 91 16
a  38 5 69
a  4 5 66
a  3 10 89
a  16 20 7
a  9 28 33
a  2 20 42
a  3 14 504
a  5 06 62
a  7 88 80
a 8 83 7
a  84 6 322
a  4 5 43
a  1 82 73
a  7 18 122
a  3 6 179
a  5 18 30
a  1 62 3
a  2 6 14
a  3 34 13
a  6 33 24
a  6 6 636
a  03 71 69
a  7 99 242
a  8 99 70
a  9 20 78
a  5 66 417
a  4 70 87
a  1 72 143
a  4 56 108
a  8 71 22
a  7 93 42
a  1 97 239
a  6 28 32
a  2 74 95
a  76 97 47
a  77 46 47
a  53 72 61
a  39 96 250
a  20 19 1214
a  76 95 8
